rank,wallet_address,composite_score,score_rating,wallet_type,total_trades,win_rate,profit_factor,net_profit_usd,avg_roi,median_roi,max_roi,avg_hold_time_hours,total_tokens_traded,entry_exit_pattern,entry_quality,exit_quality,missed_gains_percent,early_exit_rate,strategy_recommendation,confidence
1,7brTP49Rx7vLM2W6Pxtspmna2UqGtjtgcF9q3W7qtcPt,100,EXCELLENT,flipper,54,76.47,inf,15093.51,202.63,9020.61,9020.61,21.72,19,BALANCED,GOOD,POOR,0,0.0,QUICK_SCALP,VERY_HIGH
2,3jjcLMgZYvTc8xDLwshX4rCdcLphczQw8WZXbDVDuz7D,99.0,EXCELLENT,flipper,55,90,inf,9983.52,70.55,65.47,171.35,1.26,21,BALANCED,GOOD,POOR,0,0.0,QUICK_SCALP,VERY_HIGH
3,9ipB2w61Py3526ixfD28mHJBv4AaGMTcMHtafRsAyQyX,88.0,EXCELLENT,flipper,73,78.57,inf,4261.77,85.24,41.8,41.8,0.12,17,BALANCED,GOOD,POOR,0,0.0,QUICK_SCALP,VERY_HIGH
4,D4zwkUJF4FbmnRgtL6nphhunrMZdoFtBJ39Nsf2cNoZy,85.8,EXCELLENT,flipper,90,72.73,inf,2763.95,79.0,0.37,1.98,0.0,11,BALANCED,POOR,POOR,0,0.0,QUICK_SCALP,VERY_HIGH
5,6f1NUwuzAXMMPUTwbbJ2Mhh1zMoUQWCL4fdTKS6sr6wK,83.6,EXCELLENT,flipper,80,78.95,inf,3304.83,43.52,-0.96,4.3,6.79,39,BALANCED,POOR,POOR,0,0.0,QUICK_SCALP,VERY_HIGH
6,ExbKNUwVtyRjrJMPLnVWRus9BxTRpt6BRXWxGYTyfcYS,82.5,EXCELLENT,mixed,337,57.81,inf,88433.12,303.19,-47.53,140.14,27.57,85,BALANCED,GOOD,POOR,0,0.0,SELECTIVE,VERY_HIGH
7,Cw9LFx2isSNCkHgpTLJAT9uzDGQ88eRKY5oJChqTCkPQ,66.0,GOOD,flipper,41,50,inf,3167.34,47.04,-89.63,-88.68,3.59,26,BALANCED,POOR,POOR,0,0.0,QUICK_SCALP,HIGH
8,Gd6qobzV7KbNaYkKtiF3NUuSAU9SyJFZSoHA9pn4ZQqt,30.0,POOR,unknown,0,0,0,0,0,-34.89,4284.12,0,0,BALANCED,GOOD,POOR,0,0.0,CAUTIOUS,LOW
9,4uRrQUR4zMdoaD91bZbYE7c5EHAqKxkcGeDGqYsmn7Pb,28.4,POOR,unknown,0,0,0,0,0,-27.28,617.86,0,0,BALANCED,GOOD,POOR,0,0.0,CAUTIOUS,LOW
