channel_id,message_id,date,contract_address,token_name,token_symbol,initial_price,current_price,max_price,roi_percent,max_roi_percent,max_drawdown_percent,market_cap_usd,platform
MarksGems,16870,2025-05-22T02:13:36+00:00,AVGuygVeBmbYiJ47V7tgBNLSukNqW7pWZYJsKUNWhHpc,Official Solana Test Token,TEST,0,0.00010344733971891305,,0,0,,103447.33971891295,solana
MarksGems,16867,2025-05-22T02:03:25+00:00,5TScvcijRc159yFC6pFEgjSUkCvC2JyBM8aYMK15pump,Zoom Out,Zoom,0,4.5466993431675296e-05,,0,0,,45466.9934316753,pumpfun
MarksGems,16865,2025-05-22T02:02:04+00:00,7zk6zXHFEgRAo3LkyxWUsMC8mRbRw5V8jxRAGyxXpump,Flux Capacitor,Flux,0,1.1382879594188578e-05,,0,0,,11382.87959407896,pumpfun
