rank,wallet_address,composite_score,score_rating,wallet_type,total_trades,win_rate,profit_factor,net_profit_usd,avg_roi,median_roi,max_roi,avg_hold_time_minutes,total_tokens_traded,entry_exit_pattern,entry_quality,exit_quality,missed_gains_percent,early_exit_rate,strategy_recommendation,confidence
1,Cw9LFx2isSNCkHgpTLJAT9uzDGQ88eRKY5oJChqTCkPQ,100,EXCELLENT,flipper,41,50,999.99,3167.34,47.04,37.63,500,215.28,26,INSUFFICIENT_DATA,UNKNOWN,UNKNOWN,0,0,QUICK_SCALP,VERY_HIGH
2,9ipB2w61Py3526ixfD28mHJBv4AaGMTcMHtafRsAyQyX,100,EXCELLENT,flipper,75,80,999.99,4299.99,80.39,64.31,500,7.03,18,INSUFFICIENT_DATA,UNKNOWN,UNKNOWN,0,0,QUICK_SCALP,VERY_HIGH
3,7brTP49Rx7vLM2W6Pxtspmna2UqGtjtgcF9q3W7qtcPt,100,EXCELLENT,flipper,54,76.47,999.99,15093.51,202.63,162.11,200,1306.48,19,INSUFFICIENT_DATA,UNKNOWN,UNKNOWN,0,0,QUICK_SCALP,VERY_HIGH
4,ExbKNUwVtyRjrJMPLnVWRus9BxTRpt6BRXWxGYTyfcYS,93.5,EXCELLENT,flipper,335,58.73,999.99,87528.96,324.88,140.14,140.14,995.4,83,BALANCED,POOR,POOR,86.12,0.0,QUICK_SCALP,VERY_HIGH
5,3jjcLMgZYvTc8xDLwshX4rCdcLphczQw8WZXbDVDuz7D,88.0,EXCELLENT,flipper,55,90,999.99,9983.52,70.55,22.6,30.65,75.71,21,MISSING_RUNNERS,GOOD,POOR,649.33,50.0,QUICK_SCALP,VERY_HIGH
6,6f1NUwuzAXMMPUTwbbJ2Mhh1zMoUQWCL4fdTKS6sr6wK,83.6,EXCELLENT,flipper,80,78.95,999.99,3304.83,43.52,-8.13,3.47,407.35,39,BALANCED,POOR,POOR,25.52,50.0,QUICK_SCALP,VERY_HIGH
7,D4zwkUJF4FbmnRgtL6nphhunrMZdoFtBJ39Nsf2cNoZy,77.0,GOOD,flipper,96,75,999.99,4970.9,123.43,-94.43,-94.43,0.3,12,BALANCED,POOR,POOR,0,0.0,QUICK_SCALP,HIGH
8,4uRrQUR4zMdoaD91bZbYE7c5EHAqKxkcGeDGqYsmn7Pb,39.4,POOR,unknown,0,0,0.0,0,0,238.5,528.44,0,0,MISSING_RUNNERS,POOR,POOR,14231.02,50.0,CAUTIOUS,LOW
9,Gd6qobzV7KbNaYkKtiF3NUuSAU9SyJFZSoHA9pn4ZQqt,15.0,VERY POOR,unknown,0,0,0.0,0,0,0.0,50,0,0,INSUFFICIENT_DATA,UNKNOWN,UNKNOWN,0,0,CAUTIOUS,VERY_LOW
